CLDI	PUB	loc	no	raw_translit	normalized_translit	annotations	transli_entities	entities
P103023	AUCT 1, 177	@left	1	1(u) 5(disz)	1(u) 5(dic)			
P103024	AUCT 1, 178	@reverse	6	mu en eridu{ki} ba-hun	mu en eridu{ki} ba-hun		mu(year) en eridu{ki} ba-hun	
P103025	AUCT 1, 179	@left	1	3(disz)	3(dic)			
P103027	AUCT 1, 181	@left	1	1(u) gu4 1(gesz2) 4(u) udu	1(u) gu4 1(gec2) 4(u) udu			
P103029	AUCT 1, 183	@left	1	3(disz)	3(dic)			
P103030	AUCT 1, 184	@reverse	2	mu sza-asz-ru{ki} ba-hul	mu ca-ac-ru{ki} ba-hul		mu(year) sza-asz-ru{ki} ba-hul	sza-asz-ru{ki}
P103031	AUCT 1, 185	@left	1	4(disz)	4(dic)			
P103032	AUCT 1, 186	@left	1	4(disz)	4(dic)			
P103033	AUCT 1, 187	@left	1	2(u) 5(disz)	2(u) 5(dic)			
P103034	AUCT 1, 188	@left	1	1(u) 3(disz) udu	1(u) 3(dic) udu			
P103036	AUCT 1, 190	@left	1	3(u)	3(u)			
P103037	AUCT 1, 191	@left	1	5(disz)	5(dic)			
P103039	AUCT 1, 193	@left	1	2(disz)	2(dic)			
P103040	AUCT 1, 194	@left	1	7(disz)	7(dic)			
P103041	AUCT 1, 195	@left	1	3(disz)	3(dic)			
P103042	AUCT 1, 196	@left	1	1(disz)	1(dic)			
P103043	AUCT 1, 197	@left	1	7(disz)	7(dic)			
P103044	AUCT 1, 198	@left	1	1(u) 8(disz)	1(u) 8(dic)			
P103048	AUCT 1, 202	@left	1	7(disz)	7(dic)			
P103049	AUCT 1, 203	@left	1	3(gesz2) 3(u) 2(disz) udu	3(gec2) 3(u) 2(dic) udu			
P103050	AUCT 1, 204	@left	1	6(disz)	6(dic)			
P103052	AUCT 1, 206	@left	1	4(disz) gu4	4(dic) gu4			
P103054	AUCT 1, 208	@reverse	4	mu {d}amar-{d}suen lugal-e ur-bi2-lum{ki} mu-hul	mu {d}amar-{d}suen lugal-e ur-bi2-lum{ki} mu-hul		mu(year) {d}amar-{d}suen lugal-e ur-bi2-lum{ki} mu(year)-hul	mu-hul
P103055	AUCT 1, 209	@reverse	7	mu en-mah-gal-an-na en {d}nanna ba-hun	mu en-mah-gal-an-na en {d}nanna ba-hun		mu(year) en-mah-gal-an-na en {d}nanna ba-hun	
P103056	AUCT 1, 210	@left	1	2(u) 3(disz) gu4 2(u) 7(disz) udu	2(u) 3(dic) gu4 2(u) 7(dic) udu			
P103057	AUCT 1, 211	@reverse	3	mu-kux(DU)	mu-kux(DU)		mu(year)-kux(DU)	
P103059	AUCT 1, 213	@obverse	6	mu szi!-ma!-num2{ki} [mu-hul]	mu ci!-ma!-num2{ki} [mu-hul]		mu(year) szi!-ma!-num2{ki} [mu(year)-hul]	szi!-ma!-num2{ki}
P103060	AUCT 1, 214	@left	1	1(disz)	1(dic)			
P103061	AUCT 1, 215	@left	1	1(u) 4(disz)	1(u) 4(dic)			
P103063	AUCT 1, 217	@left	1	1(gesz2) 3(u) 2(disz)	1(gec2) 3(u) 2(dic)			
P103064	AUCT 1, 218	@left	1	3(u) la2 1(disz)	3(u) la2 1(dic)			
P103065	AUCT 1, 219	@left	1	1(gesz2) 1(disz) gu4 2(gesz2) 1(u) 2(disz) udu	1(gec2) 1(dic) gu4 2(gec2) 1(u) 2(dic) udu			
P103066	AUCT 1, 220	@left	1	1(u) 8(disz)	1(u) 8(dic)			
P103067	AUCT 1, 221	@reverse	4	mu en eridu{ki} ba-hun	mu en eridu{ki} ba-hun		mu(year) en eridu{ki} ba-hun	
P103069	AUCT 1, 223	@reverse	9	[...] gu4 1(gesz2) 3(disz) udu	[...] gu4 1(gec2) 3(dic) udu			
P103070	AUCT 1, 224	@left	1	3(u) udu	3(u) udu			
P103073	AUCT 1, 227	@reverse	2	mu en {d}inanna ba-hun	mu en {d}inanna ba-hun		mu(year) en {d}inanna ba-hun	ba-hun
P103075	AUCT 1, 229	@left	1	5(disz)	5(dic)			
P103076	AUCT 1, 230	@left	1	1(gesz2) 5(u) 6(disz)	1(gec2) 5(u) 6(dic)			
P103078	AUCT 1, 232	@reverse	8	mu ha-ar-szi{ki} ba-hul	mu ha-ar-ci{ki} ba-hul		mu(year) ha-ar-szi{ki} ba-hul	
P103079	AUCT 1, 233	@left	1	7(disz)	7(dic)			
P103080	AUCT 1, 234	@left	1	3(disz)	3(dic)			
P235785	AUCT 1, 235	@left	1	szunigin 1(u) 7(disz) gu4	cunigin 1(u) 7(dic) gu4			
P103081	AUCT 1, 236	@left	1	1(disz)	1(dic)			
P103082	AUCT 1, 237	@left	1	8(disz) gin2 sa10 1(u) sze	8(dic) gin2 sa10 1(u) ce			
P103083	AUCT 1, 238	@left	1	1(disz)	1(dic)			
P103084	AUCT 1, 239	@left	1	3(disz)	3(dic)			
P103085	AUCT 1, 240	@reverse	6	mu ma2-dara3-abzu ba-ab-du8	mu ma2-dara3-abzu ba-ab-du8		mu(year) ma2-dara3-abzu ba-ab-du8	
P103086	AUCT 1, 241	@left	1	1(u) 2(disz)	1(u) 2(dic)			
P103087	AUCT 1, 242	@left	1	7(disz)	7(dic)			
P103088	AUCT 1, 243	@left	1	1(gesz2) la2 1(disz)	1(gec2) la2 1(dic)			
P103089	AUCT 1, 244	@left	1	1(u)	1(u)			
P103091	AUCT 1, 246	@left	1	3(disz)	3(dic)			
P103092	AUCT 1, 247	@reverse	6	mu ma2-dara3-abzu ba-ab-du8	mu ma2-dara3-abzu ba-ab-du8		mu(year) ma2-dara3-abzu ba-ab-du8	
P103093	AUCT 1, 248	@left	1	1(disz)	1(dic)			
P103094	AUCT 1, 249	@left	1	1(u) gu4 5(disz) udu	1(u) gu4 5(dic) udu			
P103095	AUCT 1, 250	@left	1	5(disz)	5(dic)			
P103097	AUCT 1, 252	@left	1	3(gesz2) udu	3(gec2) udu			
P103098	AUCT 1, 253	@left	1	3(disz)#	3(dic)#			
P103099	AUCT 1, 254	@reverse	13	mu {d}szu-{d}suen lugal	mu {d}cu-{d}suen lugal		mu(year) {d}szu-{d}suen lugal	{d}szu-{d}suen
P103101	AUCT 1, 256	@left	1	5(u) 8(disz) 5(disz)	5(u) 8(dic) 5(dic)			
P103102	AUCT 1, 257	@reverse	5	mu us2-sa ma2-dara3-abzu {d}en-ki-ka ba-ab-du8	mu us2-sa ma2-dara3-abzu {d}en-ki-ka ba-ab-du8		mu(year) us2-sa ma2-dara3-abzu {d}en-ki-ka ba-ab-du8	
P103103	AUCT 1, 258	@left	1	1(u) 8(disz)	1(u) 8(dic)			
P103104	AUCT 1, 259	@left	1	1(u) 4(disz)	1(u) 4(dic)			
P103106	AUCT 1, 261	@reverse	4	mu ki-masz{ki} ba-hul	mu ki-mac{ki} ba-hul		mu(year) ki-masz{ki} ba-hul	
P103107	AUCT 1, 262	@left	1	2(disz) gu4	2(dic) gu4			
P103108	AUCT 1, 263	@left	1	1(disz) udu	1(dic) udu			
P103109	AUCT 1, 264	@left	1	2(u) la2 1(disz)	2(u) la2 1(dic)			
P103110	AUCT 1, 265	@left	1	4(disz)	4(dic)			
P103111	AUCT 1, 266	@left	1	3(u) 2(disz)	3(u) 2(dic)			
P103112	AUCT 1, 267	@left	1	1(u) la2 1(disz)	1(u) la2 1(dic)			
P103113	AUCT 1, 268	@left	1	2(u) la2 1(disz)	2(u) la2 1(dic)			
P103115	AUCT 1, 270	@left	1	1(disz) udu	1(dic) udu			
P103117	AUCT 1, 272	@left	1	2(disz)	2(dic)			
P103118	AUCT 1, 273	@left	1	1(u)	1(u)			
P103119	AUCT 1, 274	@reverse	4	mu {d}szu-{d}suen lugal uri5{ki}-ma-ke4 ma-da za-ab-sza-li{ki} mu-hul	mu {d}cu-{d}suen lugal uri5{ki}-ma-ke4 ma-da za-ab-ca-li{ki} mu-hul		mu(year) {d}szu-{d}suen lugal uri5{ki}-ma-ke4 ma-da za-ab-sza-li{ki} mu(year)-hul	{d}szu-{d}suen
P103120	AUCT 1, 275	@left	1	3(u) la2 1(disz)	3(u) la2 1(dic)			
P103121	AUCT 1, 276	@left	1	[...] gin2	[...] gin2			
P103122	AUCT 1, 277	@reverse	5	mu ha-ar-szi{ki} u3 ki-masz{ki} ba-hul	mu ha-ar-ci{ki} u3 ki-mac{ki} ba-hul		mu(year) ha-ar-szi{ki} u3 ki-masz{ki} ba-hul	ki-masz{ki}
P103123	AUCT 1, 278	@left	1	1(disz)	1(dic)			
P103124	AUCT 1, 279	@reverse	4	mu us2-sa ki-masz{ki} ba-hul	mu us2-sa ki-mac{ki} ba-hul		mu(year) us2-sa ki-masz{ki} ba-hul	
P103125	AUCT 1, 280	@left	1	3(disz)	3(dic)			
P103126	AUCT 1, 281	@left	1	3(gesz2) 4(u) 4(disz) gu4	3(gec2) 4(u) 4(dic) gu4			
P103127	AUCT 1, 282	@reverse	5	mu ma2-dara3-abzu {d}en-ki-ka ba-ab-du8	mu ma2-dara3-abzu {d}en-ki-ka ba-ab-du8		mu(year) ma2-dara3-abzu {d}en-ki-ka ba-ab-du8	ba-ab-du8
P103128	AUCT 1, 283	@left	1	1(u) 7(disz)	1(u) 7(dic)			
P103129	AUCT 1, 284	@left	1	3(u) 7(disz) udu	3(u) 7(dic) udu			
P103130	AUCT 1, 285	@left	1	1(u) 8(disz)	1(u) 8(dic)			
P103131	AUCT 1, 286	@reverse	4	mu ha-ar-szi[{ki}] u3 ki-masz[{ki}] ba-hul	mu ha-ar-ci[{ki}] u3 ki-mac[{ki}] ba-hul		mu(year) ha-ar-szi[{ki}] u3 ki-masz[{ki}] ba-hul	ki-masz[{ki}]
P103132	AUCT 1, 287	@reverse	7	mu us2-sa ur-bi2-lum{ki} ba-hul	mu us2-sa ur-bi2-lum{ki} ba-hul		mu(year) us2-sa ur-bi2-lum{ki} ba-hul	us2-sa
P103133	AUCT 1, 288	@reverse	5	mu en {d}nanna ba-hun-ga2	mu en {d}nanna ba-hun-ga2		mu(year) en {d}nanna ba-hun-ga2	ba-hun-ga2
P103134	AUCT 1, 289	@left	1	1(gesz2) 1(disz)	1(gec2) 1(dic)			
P103136	AUCT 1, 291	@left	1	[...]	[...]			
P103137	AUCT 1, 292	@reverse	9	mu us2-sa ki-masz{ki} ba-hul	mu us2-sa ki-mac{ki} ba-hul		mu(year) us2-sa ki-masz{ki} ba-hul	
P103140	AUCT 1, 295	@reverse	2	mu sza-asz-ru{ki} ba-hul	mu ca-ac-ru{ki} ba-hul		mu(year) sza-asz-ru{ki} ba-hul	sza-asz-ru{ki}
P103141	AUCT 1, 296	@left	1	4(disz) gin2 igi-3(disz)-gal2 3(disz)	4(dic) gin2 igi-3(dic)-gal2 3(dic)			
P103143	AUCT 1, 298	@left	1	6(disz)	6(dic)			
P103144	AUCT 1, 299	@reverse	4	mu hu-uh2-nu-ri{ki} ba-hul	mu hu-uh2-nu-ri{ki} ba-hul		mu(year) hu-uh2-nu-ri{ki} ba-hul	
P103145	AUCT 1, 300	@reverse	5	mu en-nun-e-{d}amar-{d}suen-ra-ki-ag2 [en] eridu{ki} ba-hun	mu en-nun-e-{d}amar-{d}suen-ra-ki-ag2 [en] eridu{ki} ba-hun		mu(year) en-nun-e-{d}amar-{d}suen-ra-ki-ag2 [en] eridu{ki} ba-hun	
P103146	AUCT 1, 301	@left	1	2(disz) gu4 3(gesz2) 1(u) 7(disz) udu	2(dic) gu4 3(gec2) 1(u) 7(dic) udu			
P103154	AUCT 1, 309	@left	1	5(gesz2)	5(gec2)			
P103155	AUCT 1, 310	@reverse	4	mu ur-bi2-lum{ki} ba-hul	mu ur-bi2-lum{ki} ba-hul		mu(year) ur-bi2-lum{ki} ba-hul	ur-bi2-lum{ki}
P103156	AUCT 1, 311	@left	1	2(disz)	2(dic)			
P103157	AUCT 1, 312	@reverse	5	mu {d}amar-{d}suen lugal ur-bi2-lum{ki} mu-hul	mu {d}amar-{d}suen lugal ur-bi2-lum{ki} mu-hul		mu(year) {d}amar-{d}suen lugal ur-bi2-lum{ki} mu(year)-hul	mu-hul
P103158	AUCT 1, 313	@left	1	6(disz)	6(dic)			
P103159	AUCT 1, 314	@reverse	5	mu {d}szul-gi lugal-e ur-bi2-lum{ki} lu-lu-bu{ki} si-mu-ru-um{ki} u3 kar2-har{ki} asz-sze3 sag-[du]-bi# [szu-bur2-ra] bi2#-ra-a	mu {d}cul-gi lugal-e ur-bi2-lum{ki} lu-lu-bu{ki} si-mu-ru-um{ki} u3 kar2-har{ki} ac-ce3 sag-[du]-bi# [cu-bur2-ra] bi2#-ra-a		mu(year) {d}szul-gi lugal-e ur-bi2-lum{ki} lu-lu-bu{ki} si-mu(year)-ru-um{ki} u3 kar2-har{ki} asz-sze3 sag-[du]-bi# [szu-bur2-ra] bi2#-ra-a	{d}szul-gi
P103160	AUCT 1, 315	@left	1	6(gesz2) 1(u) 1(disz)	6(gec2) 1(u) 1(dic)			
P103161	AUCT 1, 316	@reverse	7	szunigin 1(gesz2) 1(u) 2(disz) udu mu u8 ARAD2-mu i3-dab5	cunigin 1(gec2) 1(u) 2(dic) udu mu u8 ARAD2-mu i3-dab5		szunigin 1(gesz2) 1(u) 2(disz) udu mu(year) u8 ARAD2-mu(year) i3-dab5	mu
P103162	AUCT 1, 317	@reverse	4	mu {d}szu-{d}suen lugal uri5{ki}-ma-ke4 na-ru2-a-mah {d#}en#-lil2 {d}nin#-lil2#-ra# [...]	mu {d}cu-{d}suen lugal uri5{ki}-ma-ke4 na-ru2-a-mah {d#}en#-lil2 {d}nin#-lil2#-ra# [...]		mu(year) {d}szu-{d}suen lugal uri5{ki}-ma-ke4 na-ru2-a-mah {d#}en#-lil2 {d}nin#-lil2#-ra# [...]	na-ru2-a-mah
P103163	AUCT 1, 318	@left	1	1(disz)	1(dic)			
P103164	AUCT 1, 319	@obverse	6	en ku3-zu	en ku3-zu			
P103168	AUCT 1, 323	@left	1	1(u) udu	1(u) udu			
P103172	AUCT 1, 327	@left	1	2(gesz2) 2(u) 5(disz)	2(gec2) 2(u) 5(dic)			
P103173	AUCT 1, 328	@reverse	3	mu ha-ar-szi{ki} u3 ki-masz{ki} ba-hul	mu ha-ar-ci{ki} u3 ki-mac{ki} ba-hul		mu(year) ha-ar-szi{ki} u3 ki-masz{ki} ba-hul	ki-masz{ki}
P103174	AUCT 1, 329	@reverse	3	mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	mu ki-mac{ki} u3 hu-ur5-ti{ki} ba-hul		mu(year) ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	hu-ur5-ti{ki}
P103176	AUCT 1, 331	@reverse	5	mu ha-ar-szi{ki} u3 ki-masz{ki} ba-hul	mu ha-ar-ci{ki} u3 ki-mac{ki} ba-hul		mu(year) ha-ar-szi{ki} u3 ki-masz{ki} ba-hul	ki-masz{ki}
P103177	AUCT 1, 332	@reverse	14	mu sza-asz-ru-um{ki} ba-hul	mu ca-ac-ru-um{ki} ba-hul		mu(year) sza-asz-ru-um{ki} ba-hul	sza-asz-ru-um{ki}
P103179	AUCT 1, 334	@reverse	3	mu {d}szu-{d}suen lugal-e e2 {d}szara2 umma{ki} mu-du3	mu {d}cu-{d}suen lugal-e e2 {d}cara2 umma{ki} mu-du3		mu(year) {d}szu-{d}suen lugal-e e2 {d}szara2 umma{ki} mu(year)-du3	umma{ki}
P103180	AUCT 1, 335	@left	1	7(gesz2) 3(disz)	7(gec2) 3(dic)			
P103181	AUCT 1, 336	@left	1	4(disz)	4(dic)			
P103182	AUCT 1, 337	@left	1	2(gesz2) 4(u) 7(disz)	2(gec2) 4(u) 7(dic)			
P103183	AUCT 1, 338	@seal 1	1	mu ur-bi2-lum[{ki}] ba-[hul]	mu ur-bi2-lum[{ki}] ba-[hul]		mu(year) ur-bi2-lum[{ki}] ba-[hul]	ur-bi2-lum[{ki}]
P103184	AUCT 1, 339	@left	1	mu us2-sa ki-masz{ki} ba-hul	mu us2-sa ki-mac{ki} ba-hul		mu(year) us2-sa ki-masz{ki} ba-hul	
P103185	AUCT 1, 340	@reverse	3	mu hu-uh2-nu-ri{ki} ba-hul	mu hu-uh2-nu-ri{ki} ba-hul		mu(year) hu-uh2-nu-ri{ki} ba-hul	
P103186	AUCT 1, 341	@left	1	1(gesz'u)	1(gec'u)			
P103187	AUCT 1, 342	@left	1	5(disz) gu4 1(gesz2) 1(disz) udu	5(dic) gu4 1(gec2) 1(dic) udu			
P103188	AUCT 1, 343	@left	1	6(disz)	6(dic)			
P103189	AUCT 1, 344	@left	1	1(disz)	1(dic)			
P103190	AUCT 1, 345	@left	1	8(disz) gu4 1(gesz'u) 4(gesz2) 1(disz) sila4	8(dic) gu4 1(gec'u) 4(gec2) 1(dic) sila4			
P103191	AUCT 1, 346	@left	1	5(u) la2 1(disz@t)	5(u) la2 1(dic@t)			
P103192	AUCT 1, 347	@left	1	5(u) 6(disz)	5(u) 6(dic)			
P103195	AUCT 1, 350	@left	1	7(disz)	7(dic)			
P103196	AUCT 1, 351	@left	1	6(disz)	6(dic)			
P103197	AUCT 1, 352	@reverse	2	mu sza-asz-ru{ki} ba-hul	mu ca-ac-ru{ki} ba-hul		mu(year) sza-asz-ru{ki} ba-hul	sza-asz-ru{ki}
P103200	AUCT 1, 355	@column 2	1	mu hu-uh2-nu-ri{ki} ba-hul	mu hu-uh2-nu-ri{ki} ba-hul		mu(year) hu-uh2-nu-ri{ki} ba-hul	
P103202	AUCT 1, 357	@reverse	2	mu sza-asz-ru{ki} ba-hul	mu ca-ac-ru{ki} ba-hul		mu(year) sza-asz-ru{ki} ba-hul	sza-asz-ru{ki}
P103203	AUCT 1, 358	@left	1	1(disz) gu4 1(disz) dusu2	1(dic) gu4 1(dic) dusu2			
P103204	AUCT 1, 359	@left	1	5(disz)	5(dic)			
P103205	AUCT 1, 360	@left	1	1(gesz'u)	1(gec'u)			
P103206	AUCT 1, 361	@left	1	2(disz)	2(dic)			
P103207	AUCT 1, 362	@left	1	2(disz) gu4	2(dic) gu4			
P103208	AUCT 1, 363	@left	1	1(disz) udu	1(dic) udu			
P103209	AUCT 1, 364	@left	1	1(disz)	1(dic)			
P103210	AUCT 1, 365	@reverse	4	mu {d}gu-za {d}en-lil2 ba-dim2	mu {d}gu-za {d}en-lil2 ba-dim2		mu(year) {d}gu-za {d}en-lil2 ba-dim2	{d}gu-za
P103211	AUCT 1, 366	@left	1	1(gesz'u) 5(gesz2) 5(u) 4(disz)	1(gec'u) 5(gec2) 5(u) 4(dic)			
P103212	AUCT 1, 367	@left	1	1(u) 8(disz) udu	1(u) 8(dic) udu			
P103213	AUCT 1, 368	@left	1	1(gesz2) gu4	1(gec2) gu4			
P103214	AUCT 1, 369	@reverse	3	mu en-nun-ne2-{d}amar-{d}suen-ra-ki-ag2 en eridu{ki} ba-hun	mu en-nun-ne2-{d}amar-{d}suen-ra-ki-ag2 en eridu{ki} ba-hun		mu(year) en-nun-ne2-{d}amar-{d}suen-ra-ki-ag2 en eridu{ki} ba-hun	
P103217	AUCT 1, 372	@reverse	9	mu ha-ar-szi{ki} ba-hul	mu ha-ar-ci{ki} ba-hul		mu(year) ha-ar-szi{ki} ba-hul	
P103218	AUCT 1, 373	@left	1	[mu us2?-sa?] sza-asz-ru-um{ki} ba-hul	[mu us2?-sa?] ca-ac-ru-um{ki} ba-hul		[mu(year) us2?-sa?] sza-asz-ru-um{ki} ba-hul	sza-asz-ru-um{ki}
P103219	AUCT 1, 374	@reverse	2	mu {d}gu-za {d}en-lil2-la2 ba-dim2	mu {d}gu-za {d}en-lil2-la2 ba-dim2		mu(year) {d}gu-za {d}en-lil2-la2 ba-dim2	{d}gu-za
P103221	AUCT 1, 376	@reverse	6	mu us2-sa ki-masz{ki} ba-hul	mu us2-sa ki-mac{ki} ba-hul	year after: “Kimaš was destroyed.”	mu(year) us2-sa ki-masz{ki} ba-hul	
P103222	AUCT 1, 377	@reverse	5	mu {d}amar-{d}suen lugal	mu {d}amar-{d}suen lugal		mu(year) {d}amar-{d}suen lugal	{d}amar-{d}suen
P103224	AUCT 1, 379	@left	3	iti ezem-me-ki-gal2	iti ezem-me-ki-gal2		iti[month] ezem-me-ki-gal2	
P103227	AUCT 1, 382	@left	1	5(gesz2)	5(gec2)			
P103228	AUCT 1, 383	@reverse	4	mu {d}gu-za ba-dim2	mu {d}gu-za ba-dim2		mu(year) {d}gu-za ba-dim2	{d}gu-za
P103229	AUCT 1, 384	@left	1	ur-{d}ba-ba6 dumu dingir-a i3-dab5	ur-{d}ba-ba6 dumu dingir-a i3-dab5		ur-{d}ba-ba6 dumu(year) dingir-a i3-dab5	
P103231	AUCT 1, 386	@reverse	10'	mu en {d}nanna kar-zi-da ba-hun	mu en {d}nanna kar-zi-da ba-hun		mu(year) en {d}nanna kar-zi-da ba-hun	kar-zi-da
P103232	AUCT 1, 387	@reverse	5	mu en {d}nanna masz2-e i3-pa3!	mu en {d}nanna mac2-e i3-pa3!		mu(year) en {d}nanna masz2-e i3-pa3!	masz2-e
P103233	AUCT 1, 388	@reverse	2	mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	mu ki-mac{ki} u3 hu-ur5-ti{ki} ba-hul		mu(year) ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	hu-ur5-ti{ki}
P103234	AUCT 1, 389	@left	1	1(u) la2 1(disz)	1(u) la2 1(dic)			
P103236	AUCT 1, 391	@left	1	2(disz) gu4	2(dic) gu4			
P103237	AUCT 1, 392	@left	1	1(gesz'u) udu	1(gec'u) udu			
P103238	AUCT 1, 393	@left	1	1(disz)	1(dic)			
P103240	AUCT 1, 395	@left	1	6(disz)	6(dic)			
P103241	AUCT 1, 396	@reverse	9'	mu e2 puzur4-isz-{d}da-gan ba-du3	mu e2 puzur4-ic-{d}da-gan ba-du3		mu(year) e2 puzur4-isz-{d}da-gan ba-du3	ba-du3
P103242	AUCT 1, 397	@left	1	1(u) 5(disz)	1(u) 5(dic)			
P103243	AUCT 1, 398	@left	1	3(u) 1(disz)	3(u) 1(dic)			
P103244	AUCT 1, 399	@left	1	2(u) 2(disz) udu 1(u) 8(disz) masz-da3	2(u) 2(dic) udu 1(u) 8(dic) mac-da3			
P103245	AUCT 1, 400	@left	1	1(disz) gu4	1(dic) gu4			
P103246	AUCT 1, 401	@left	1	2(gesz'u) 7(gesz2) udu	2(gec'u) 7(gec2) udu			
P103247	AUCT 1, 402	@left	1	1(gesz2) 3(u)	1(gec2) 3(u)			
P103248	AUCT 1, 403	@left	1	1(gesz2) 2(disz)	1(gec2) 2(dic)			
P103249	AUCT 1, 404	@left	1	4(disz)	4(dic)			
P103250	AUCT 1, 405	@left	3	1(szar2) 4(u) la2 1(disz)	1(car2) 4(u) la2 1(dic)			
P103251	AUCT 1, 406	@reverse	4	mu ha-ar-szi{ki} ki-masz{ki} ba-hul	mu ha-ar-ci{ki} ki-mac{ki} ba-hul		mu(year) ha-ar-szi{ki} ki-masz{ki} ba-hul	
P103252	AUCT 1, 407	@reverse	2	1(disz) gu4 niga in-da-a	1(dic) gu4 niga in-da-a			
P103253	AUCT 1, 408	@reverse	7	mu en-mah-gal-an-na en {d}nanna ba-hun	mu en-mah-gal-an-na en {d}nanna ba-hun		mu(year) en-mah-gal-an-na en {d}nanna ba-hun	
P103254	AUCT 1, 409	@left	1	1(u) udu	1(u) udu			
P103255	AUCT 1, 410	@reverse	2	mu us2-sa e2 puzur4-isz-{d}da-gan ba-du3	mu us2-sa e2 puzur4-ic-{d}da-gan ba-du3		mu(year) us2-sa e2 puzur4-isz-{d}da-gan ba-du3	
P103256	AUCT 1, 411	@left	1	2(u) 4(disz) udu nig2-ka9-ak ib2-tak4 giri3 {d}en-lil2	2(u) 4(dic) udu nig2-ka9-ak ib2-tak4 giri3 {d}en-lil2			
P103257	AUCT 1, 412	@reverse	6	mu {d}i-bi2-{d}suen lugal	mu {d}i-bi2-{d}suen lugal		mu(year) {d}i-bi2-{d}suen lugal	{d}i-bi2-{d}suen
P103258	AUCT 1, 413	@reverse	10	mu {d}szu-{d}suen lugal	mu {d}cu-{d}suen lugal		mu(year) {d}szu-{d}suen lugal	{d}szu-{d}suen
P103259	AUCT 1, 414	@left	1	4(disz)	4(dic)			
P103260	AUCT 1, 415	@left	1	1(u) 6(disz)	1(u) 6(dic)			
P103261	AUCT 1, 416	@left	1	1(u) 3(disz)	1(u) 3(dic)			
P103262	AUCT 1, 417	@left	1	4(disz)	4(dic)			
P103263	AUCT 1, 418	@left	1	3(gesz2) 1(u) 6(disz)	3(gec2) 1(u) 6(dic)			
P103264	AUCT 1, 419	@left	1	3(disz)	3(dic)			
P103269	AUCT 1, 424	@left	1	1(u) gin2 igi-4(disz)-gal2	1(u) gin2 igi-4(dic)-gal2			
P103270	AUCT 1, 425	@left	1	2(u) la2 1(disz)	2(u) la2 1(dic)			
P103271	AUCT 1, 426	@left	1	3(u) 6(disz)	3(u) 6(dic)			
P103272	AUCT 1, 427	@left	1	mu e2 {d}szara2 ba-du3	mu e2 {d}cara2 ba-du3		mu(year) e2 {d}szara2 ba-du3	ba-du3
P103273	AUCT 1, 428	@left	1	1(disz) gu4 1(disz) udu	1(dic) gu4 1(dic) udu			
P103274	AUCT 1, 429	@left	1	1(u) 7(disz) gin2 1(u) 5(disz) sze	1(u) 7(dic) gin2 1(u) 5(dic) ce			
P103275	AUCT 1, 430	@left	1	1(u) la2 1(disz)	1(u) la2 1(dic)			
P103276	AUCT 1, 431	@reverse	6	mu us2-sa e2 puzur4-isz-{d}da-gan mu us2-sa-bi	mu us2-sa e2 puzur4-ic-{d}da-gan mu us2-sa-bi		mu(year) us2-sa e2 puzur4-isz-{d}da-gan mu(year) us2-sa-bi	us2-sa
P103277	AUCT 1, 432	@left	1	2(disz)	2(dic)			
P103278	AUCT 1, 433	@reverse	5	mu e2 puzur4-isz-{d}da-gan ba-du3	mu e2 puzur4-ic-{d}da-gan ba-du3		mu(year) e2 puzur4-isz-{d}da-gan ba-du3	ba-du3
P103279	AUCT 1, 434	@reverse	1'	mu {d}i-bi2-[{d}suen] lugal	mu {d}i-bi2-[{d}suen] lugal		mu(year) {d}i-bi2-[{d}suen] lugal	{d}i-bi2-[{d}suen]
P103281	AUCT 1, 436	@reverse	2	mu us2-sa ki-masz{ki} ba-hul	mu us2-sa ki-mac{ki} ba-hul		mu(year) us2-sa ki-masz{ki} ba-hul	
P103282	AUCT 1, 437	@reverse	4	[...]	[...]			
P103284	AUCT 1, 439	@reverse	4	ab-ba-sa6-ga szu ba-ti	ab-ba-sa6-ga cu ba-ti			
P103285	AUCT 1, 440	@reverse	2	szunigin 1(asz) 5(ban2) sze gur	cunigin 1(ac) 5(ban2) ce gur			
P103286	AUCT 1, 441	@reverse	13	[mu ... ba]-hul	[mu ... ba]-hul		[mu(year) ... ba]-hul	
P103288	AUCT 1, 443	@reverse	4	mu {d}i#-[bi2]-{d}suen# [lugal]	mu {d}i#-[bi2]-{d}suen# [lugal]		mu(year) {d}i#-[bi2]-{d}suen# [lugal]	{d}i#-[bi2]-{d}suen#
P103290	AUCT 1, 445	@reverse	4	mu sza-asz-ru{ki} ba-hul	mu ca-ac-ru{ki} ba-hul		mu(year) sza-asz-ru{ki} ba-hul	sza-asz-ru{ki}
P103291	AUCT 1, 446	@seal 1	3	[dumu ...]	[dumu ...]		[dumu(year) ...]	
P103293	AUCT 1, 448	@seal 1	3	dumu i-di3-er3-ra	dumu i-di3-er3-ra		dumu(year) i-di3-er3-ra	
P103294	AUCT 1, 449	@left	1	1(u) 7(disz) udu masz2 <1(ban2)> 2(disz) sila3 ga-sze-a	1(u) 7(dic) udu mac2 <1(ban2)> 2(dic) sila3 ga-ce-a			
