CLDI	PUB	loc	no	raw_translit	normalized_translit	annotations	transli_entities	entities
P433573	RSO 83, 342 03	@reverse	5	mu men {d}nanna masz-e i3-pa3	mu men {d}nanna mac-e i3-pa3		mu(year) men {d}nanna masz-e i3-pa3	masz-e
P433574	RSO 83, 342 04	@reverse	11	[mu] ur-bi2-[lum{ki} ba]-hul	[mu] ur-bi2-[lum{ki} ba]-hul		[mu(year)] ur-bi2-[lum{ki} ba]-hul	ba]-hul
P433575	RSO 83, 343 05	@reverse	3	mu ur-bi2-lum{ki} ba-hul	mu ur-bi2-lum{ki} ba-hul		mu(year) ur-bi2-lum{ki} ba-hul	ur-bi2-lum{ki}
P421777	RSO 83, 343 06	@reverse	5	mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	mu ki-mac{ki} u3 hu-ur5-ti{ki} ba-hul		mu(year) ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	hu-ur5-ti{ki}
P433576	RSO 83, 343 07	@reverse	10	mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	mu ki-mac{ki} u3 hu-ur5-ti{ki} ba-hul		mu(year) ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	hu-ur5-ti{ki}
P421776	RSO 83, 343 08	@reverse	5	mu {d}amar-{d}suen lugal	mu {d}amar-{d}suen lugal		mu(year) {d}amar-{d}suen lugal	{d}amar-{d}suen
P433577	RSO 83, 343 09	@reverse	11	mu {d}amar-{d}suen lugal	mu {d}amar-{d}suen lugal		mu(year) {d}amar-{d}suen lugal	{d}amar-{d}suen
P433578	RSO 83, 344 10	@left	1	2(disz)	2(dic)			
P433579	RSO 83, 344 11	@left	1	4(disz)	4(dic)			
P433580	RSO 83, 344 12	@reverse	3	mu en-mah-gal-an-na en {d}nanna ba-hun	mu en-mah-gal-an-na en {d}nanna ba-hun		mu(year) en-mah-gal-an-na en {d}nanna ba-hun	
P433581	RSO 83, 345 13	@left	1	5(disz)	5(dic)			
P433582	RSO 83, 345 14	@reverse	5	mu en-unu6-gal {d}inanna ba-hun	mu en-unu6-gal {d}inanna ba-hun		mu(year) en-unu6-gal {d}inanna ba-hun	ba-hun
